Name,Company,Distillation,ABV,Location,Score,nRatings,Aged,Distilled,Type,Full Name,Country,Price_unit,Popularity,Popularity_scaled,Quebec
British Navy Blue Label 40 3-Year,Pusser's,,40.0%,"Virgin Islands, British",6.8,428,3.0,2024,Brown,,,,12.861456918928017,8.034380994424819,False
Selección de Maestros,Havana Club,,,Cuba,7.4,417,,2024,Brown,,,,13.435481432524757,8.413392684752987,False
Reserva Especial 15,Millonario,,40.0%,Peru,7.8,417,,2024,Brown,,,,13.835481432524755,8.677501050406812,False
Gran Reserva 12-Year,Abuelo,,40.0%,Panama,7.4,409,12.0,2024,Brown,,,,13.416157159698354,8.400633429468913,False
Anejo Especial,Havana Club,,40.0%,Cuba,6.0,400,,2024,Golden,,,,11.99396142730657,7.461598953164311,False
Dark,Captain Morgan,,40.0%,Puerto Rico,4.1,396,,2024,Brown,Captain Morgan Dark,Canada,33.99,10.08393628068719,6.200464903585926,True
12-Year,Kirk and Sweeney,,40.0%,Dominican Republic,7.5,392,12.0,2024,Brown,,,,13.47380961186926,8.438699666765896,False
Solera Distillery Icon Reserve 20-Year,Dictador,,40.0%,Colombia,7.4,392,20.0,2024,Brown,,,,13.373809611869262,8.37267257535244,False
Elixir de Cuba 7-Year,Legendario,,,Cuba,6.3,389,7.0,2024,Golden,,,,12.266146739123691,7.641314997811803,False
Reserva,Diplomatico,,40.0%,Venezuela,6.6,373,,2024,Brown,Diplomatico Reserva Exclusiva,Venezuela,84.67,12.524255797414533,7.81173690167591,True
Original Dark,Myers's,,40.0%,Jamaica,5.7,372,,2024,Black,,,,11.621578419643816,7.215725284286646,False
3 Stars Artisanal,Plantation,,,Multiple,7.2,364,,2024,White,,,,13.099897353582492,8.191816278180772,False
20-Year,Centenario,,40.0%,Costa Rica,8.2,364,20.0,2024,Brown,,,,14.099897353582492,8.852087192315336,False
XO,Millonario,,40.0%,Peru,8.7,358,,2024,Brown,,,,14.583322388488277,9.171278682028113,False
30-Year,Quorhum,,40.0%,Dominican Republic,9.0,357,30.0,2024,Brown,,,,14.8805329864007,9.36751819520223,False
Gran Reserva 7-Year,Flor de Caña,,40.0%,Nicaragua,6.5,345,7.0,2024,Amber,Flor de Cana 7 Ans Gran Reserva,Nicaragua,50.33,12.346438775057724,7.694329493775692,True
Mantuano,Diplomatico,,40.0%,Venezuela,6.5,344,,2024,Brown,Diplomatico Mantuano,Venezuela,62.0,12.34354441703136,7.692418433355793,True
Master Reserve 21,Zafra,,40.0%,Panama,8.2,335,,2024,Brown,,,,14.017111159963203,8.797425876576607,False
Traditional Jamaica Navy Strength,Smith and Cross,Pot Still,57.0%,Jamaica,7.6,333,,2024,Brown,,,,13.411140992976701,8.397321400482156,False
21-Year,Appleton Estate,,,Jamaica,8.3,331,21.0,2024,Amber,Appleton Estate 21 Years Old,Jamaica,212.67,14.105134968916488,8.8555454373798,True
Black Spiced,Captain Morgan,,,Puerto Rico,5.9,327,,2024,Spiced,Captain Morgan Black,United States,42.33,11.693013608384145,7.262891861657598,True
AÃ±ejo,Brugal,,40.0%,Dominican Republic,5.5,321,,2024,Golden,,,,11.274551545544409,6.986593532895769,False
ABV 43 10-Year,RL Seale,Pot and Column Still,43.0%,Barbados,7.7,320,10.0,2024,Brown,,,,13.471441123130017,8.437135822540917,False
XO 6-Year,Doorly's,Pot and Column Still,43.0%,Barbados,7.1,312,6.0,2024,Brown,,,,12.846203190540152,8.024309401238202,False
Gold,Bacardi,,40.0%,Puerto Rico,4.3,301,,2024,Amber,Bacardi Gold,Canada,33.77,10.01042701737487,6.151928875101342,True
Rare Blend 12-Year,Appleton Estate,,,Jamaica,7.4,299,12.0,2024,Brown,,,,13.103782474656201,8.194381510623632,False
Carta Blanca,Bacardi,,40.0%,Puerto Rico,2.8,294,,2024,White,,,,8.48697535633982,5.146038054229908,False
Signature Blend,Appleton Estate,,40.0%,Jamaica,5.6,285,,2024,Brown,,,,11.255991810819852,6.974339079883092,False
V/X,Appleton Estate,,40.0%,Jamaica,6.1,283,,2024,Amber,Appleton Estate V/X,Jamaica,36.92,11.748974238161207,7.299841037836044,True
23-Year,Kirk and Sweeney,,40.0%,Dominican Republic,8.2,282,23.0,2024,Brown,Kirk and Sweeney 23 ans,Dominican Republic,157.67,13.845446897643237,8.684080957170368,True
8-Year,El Dorado,,40.0%,Guyana,6.8,278,8.0,2024,Brown,El Dorado 8 Years Old,Guyana,43.33,12.431211781821364,7.750302644445457,True
Original Dark Double Aged,Plantation,,40.0%,Multiple,6.8,262,,2024,Brown,,,,12.372154032177765,7.711308530101547,False
Barbados Grande Reserve,Plantation,,40.0%,Multiple,6.5,261,,2024,Brown,,,,12.068344503761097,7.510711935051083,False
1824 12-Year,Angostura,,40.0%,Trinidad and Tobago,7.6,255,12.0,2024,Brown,,,,13.145177444479561,8.221713405189476,False
43 abv 12-Year,Doorly's,Pot and Column Still,43.0%,Barbados,7.9,254,12.0,2024,Brown,,,,13.441263545158426,8.417210445547248,False
XO,Cartavio,,40.0%,Peru,8.3,250,,2024,Amber,Ron Cartavio Cartavio XO,Peru,203.67,13.825452939131784,8.670879527906841,True
Ambassador Selection,Diplomatico,,,Venezuela,9.0,248,,2024,Brown,Diplomatico Ambassador Selection,Venezuela,458.0,14.517452896464707,9.12778697231613,True
XO,Bumbu,,40.0%,Barbados,7.1,239,,2024,Brown,Bumbu XO,Panama,97.33,12.58063892334199,7.848965039773796,True
Overproof O.F.T.D.,Plantation,Pot and Column Still,69.0%,Multiple,7.6,237,,2024,Black,,,,13.072270673671476,8.17357518498142,False
5 Star Reserve Especiale 8-Year,Barbancourt,,,Haiti,6.7,236,8.0,2024,Brown,,,,12.168060141135133,7.576551270093548,False
White Overproof,Wray & Nephew,,,Jamaica,6.6,234,,2024,White,,,,12.059585514144159,7.504928628969811,False
Reserva Superior 7-Year,Abuelo,,40.0%,Panama,6.9,234,7.0,2024,Brown,,,,12.35958551414416,7.703009903210182,False
Gran Anejo,Barcelo,,37.5%,Dominican Republic,6.1,231,,2024,Amber,Barcelo Gran Anejo,Dominican Republic,42.33,11.54673737166631,7.166309917123749,True
Extra Anejo,La Hechicera,,40.0%,Colombia,7.6,230,,2024,Brown,,,,13.042417710521793,8.153864141712955,False
Black,Bacardi,,40.0%,Puerto Rico,4.0,228,,2024,Black,Bacardi Black,United States,36.33,9.43372200355424,5.7711473284400086,True
18-Year,Kirk and Sweeney,,40.0%,Dominican Republic,8.0,228,18.0,2024,Brown,,,,13.43372200355424,8.412230984978269,False
Family Reserve Old,Gosling's,,40.0%,Bermuda,7.7,228,,2024,Brown,Gosling's Family Reserve Old Rum,Bermuda,126.0,13.13372200355424,8.2141497107379,True
Dark 24-Year,Papas Pilar,,,United States,7.6,224,24.0,2024,Brown,,,,13.016100402204419,8.136487588492681,False
Gran Reserva 23-Year,Matusalem,,40.0%,Dominican Republic,7.2,211,23.0,2024,Brown,,,,12.556586274672012,7.833083775449112,False
Anejo Reserva,Havana Club,,40.0%,Cuba,6.3,210,,2024,Brown,Havana Club Anejo Reserva,Cuba,41.0,11.651858133476066,7.235718098618399,True
Solera 1893 18-Year,Botran,,40.0%,Guatemala,7.0,208,18.0,2024,Brown,,,,12.342334251964811,7.691619396561048,False
25-Year,Centenario,,,Costa Rica,8.7,201,25.0,2024,Brown,,,,14.008267697401205,8.791586795466683,False
XO 15-Year,Ron de Jeremy,,40.0%,Panama,7.2,195,15.0,2024,Brown,,,,12.478114659230517,7.78127125018794,False
Xaymaca Special Dry,Plantation,,,Multiple,6.7,190,,2024,Amber,Plantation Jamaïque Xaymaca Special Dry,Jamaica,53.93,11.952273428046631,7.43407357978451,True
Gunpowder Proof 3-Year,Pusser's,,54.5%,"Virgin Islands, British",7.1,189,3.0,2024,Brown,,,,12.347024072160487,7.694715948428774,False
Spiced,Rumbullion,,,Multiple,7.5,188,,2024,Spiced,,,,12.741747015059643,7.955340026766685,False
Solera Reserva 15-Year,Botran,,40.0%,Guatemala,6.8,188,15.0,2024,Brown,,,,12.041747015059642,7.49315038687249,False
XO,Kaniche,,40.0%,Barbados,7.7,186,,2024,Brown,,,,12.931108616854587,8.080369984685818,False
5-Year,El Dorado,,40.0%,Guyana,6.2,186,5.0,2024,Brown,El Dorado 5 Ans,Guyana,42.67,11.431108616854587,7.089963613483972,True
Non Plus Ultra Very Rare,A. H. Riise,,,Denmark,7.9,185,,2024,Brown,,,,13.125746673713202,8.208883832413232,False
Extra Old 12-Year,Admiral Rodney,,40.0%,Saint Lucia,7.7,183,12.0,2024,Brown,,,,12.914935757608987,8.069691516127557,False
Extra Viejo Gran Reserva,Brugal,,,Dominican Republic,5.9,183,,2024,Brown,,,,11.114935757608986,6.88120387068534,False
5-Year,English Harbour,Column Still (1-4),40.0%,Antigua and Barbuda,6.5,183,5.0,2024,Brown,,,,11.714935757608986,7.2773664191660785,False
Extraroma 12-Year,Arcane,,,Mauritius,6.9,182,12.0,2024,Brown,,,,12.109486152841422,7.537876569298353,False
25-Year,Flor de CaÃ±a,,40.0%,Nicaragua,8.5,177,25.0,2024,Brown,,,,13.681783550292085,8.5760188092045,False
Gran Anejo,Don Q,,40.0%,Puerto Rico,7.4,173,,2024,Amber,Don Q Gran Anejo,Puerto Rico,94.0,12.55905529921453,7.83471400054082,True
Single Blended 12-Year,Real McCoy,Pot and Column Still,40.0%,Barbados,7.6,172,12.0,2024,Brown,,,,12.753291594497778,7.9629625767856025,False
XO,Ron Esclavo,,40.0%,Dominican Republic,8.3,172,,2024,Brown,,,,13.453291594497781,8.4251522166798,False
Anejo,Abuelo,,40.0%,Panama,6.2,171,,2024,Amber,Ron Abuelo Anejo 7 years,Panama,65.0,11.347494476813452,7.034755628804436,True
Anejo,Santiago de Cuba,,40.0%,Cuba,6.6,170,,2024,Golden,,,,11.74166355650266,7.295014007374409,False
3 Star,Ron Del Barrilito,,40.0%,Puerto Rico,7.2,168,,2024,Brown,,,,12.329898714923074,7.683408573150746,False
30-Year,Centenario,,,Costa Rica,9.1,168,30.0,2024,Brown,Ron Zacapa Centenario Sistema Solera 23 Gran Reserva,Guatemala,115.33,14.229898714923074,8.93792331000642,True
Centuria,Abuelo,Column Still (5+),40.0%,Panama,8.7,167,,2024,Brown,,,,13.823963979403258,8.669896411105778,False
XO Insolent,Dictador,,40.0%,Colombia,8.4,166,,2024,Amber,Dictador XO Insolent Solera System Rum,Colombia,276.0,13.517993812416755,8.467873209251696,True
Reserve Spiced,Chairman's,,40.0%,Saint Lucia,7.2,164,,2024,Spiced,St-Lucia Distillers Chairman's Reserve Spiced,Saint Lucia,49.67,12.30594547390058,7.667592944804339,True
10-Year,Don Papa,,,Philippines,6.7,164,10.0,2024,Brown,,,,11.80594547390058,7.337457487737057,False
Reserva Exclusiva,Botucal,,40.0%,Venezuela,7.9,163,,2024,Brown,,,,12.999866427824198,8.125768767388616,False
The Forgotten Cask 6-11 Years,Chairman's,Pot and Column Still,40.0%,Saint Lucia,7.1,162,,2024,Brown,,,,12.193750200806761,7.5935136692771055,False
Reserve 4-6 Years,Chairman's,Pot and Column Still,40.0%,Saint Lucia,6.5,160,,2024,Brown,,,,11.581404364984463,7.189199524492222,False
Edicion Negra,Ron Zacapa,,,Guatemala,7.5,160,,2024,Brown,,,,12.581404364984463,7.8494704386267875,False
XO Reserve Superior Cask,A. H. Riise,,40.0%,Denmark,7.1,160,,2024,Brown,,,,12.181404364984463,7.585362072972962,False
White,Captain Morgan,,40.0%,Puerto Rico,4.0,159,,2024,White,Captain Morgan,Canada,30.48,9.075173815233827,5.534408388376396,True
VXOP 21,Vizcaya,,,Dominican Republic,7.8,159,,2024,Amber,Vizcaya VXOP Cask No. 21,Dominican Republic,139.67,12.875173815233826,8.043437862087742,True
British Navy ”Nelson’s Blood” 15-Year,Pusser's,,40.0%,"Virgin Islands, British",7.9,158,15.0,2024,Brown,,,,12.968904202220232,8.105325310385444,False
Dark,Gold of Mauritius,,40.0%,Mauritius,6.8,156,,2024,Brown,Gold of Mauritius,Mauritius,111.43,11.856245805348308,7.37066933356332,True
151,Bacardi,,,Puerto Rico,3.9,154,,2024,White,,,,8.943425116919247,5.44741855490419,False
Gran Anejo Guatemala & Belize,Plantation,,,Multiple,7.2,153,,2024,Brown,,,,12.23695260241363,7.622038958478883,False
15-Year,Presidente,,40.0%,Dominican Republic,7.8,152,15.0,2024,Brown,,,,12.830437921392434,8.013900052566461,False
Vanilla & Ginger Spiced Rum,Red Leg,,,Multiple,6.8,152,,2024,Spiced,,,,11.830437921392434,7.353629138431895,False
Original Dark,Plantation,,40.0%,Multiple,6.4,148,,2024,Brown,Plantation Original Dark,France,42.0,11.40394630594546,7.072029129629995,True
Republica Exclusive,Bozkov,,40.0%,Czechia,4.8,147,,2024,Brown,,,,9.797212273764114,6.011149381430502,False
