Name,Company,Distillation,ABV,Location,Score,nRatings,Aged,Distilled,Type,Full Name,Country,Price_unit,Popularity,Popularity_scaled,Quebec
Gold,Tanduay,,40.0%,Philippines,5.4,20,,2024,Golden,,,,8.444522437723423,5.11800762684738,False
Gold 3-Year,Neptune,,40.0%,United Kingdom,6.1,20,3.0,2024,Golden,,,,9.144522437723422,5.580197266741575,False
2005 St. Lucia,Plantation,,,Multiple,7.1,20,,2005,Brown,,,,10.144522437723422,6.24046818087614,False
Blanco,Old Pascas,,37.5%,Barbados,2.5,20,,2024,White,,,,5.544522437723423,3.20322197585714,False
Whilte,Liberte,,40.0%,Germany,3.3,20,,2024,White,,,,6.344522437723423,3.7314387071647923,False
Old Grog,Clarkes Court,Column Still (1-4),40.0%,Grenada,6.6,20,,2024,Golden,Clarkes Court Old Grog Rum,Grenada,97.0,9.644522437723422,5.910332723808858,True
Gran Reserva,Kirk and Sweeney,,40.0%,Dominican Republic,6.7,20,,2024,Brown,,,,9.744522437723424,5.976359815222314,False
Premium Dark,Jaguara,,,Guyana,8.0,20,,2024,Brown,,,,11.044522437723423,6.834712003597248,False
1999 Guyana,Plantation,,,Multiple,7.2,20,,1999,Brown,,,,10.244522437723424,6.306495272289597,False
Reserva,Kirk and Sweeney,Pot Still,40.0%,Dominican Republic,5.8,20,,2024,Brown,,,,8.844522437723423,5.382115992501205,False
151 Yellow Label,Lemon Hart,,,Guyana,6.4,20,,2024,Golden,,,,9.444522437723423,5.778278540981945,False
Sherry Finish 30-Year,Quorhum,,40.0%,Dominican Republic,8.3,20,30.0,2024,Brown,,,,11.344522437723423,7.032793277837619,False
Rhum Orange Liqueur,Santa Teresa,,,Venezuela,7.6,20,,2024,Flavoured,,,,10.644522437723422,6.570603637943422,False
Double Barrel,Merser & Co,,40.0%,United Kingdom,6.8,20,,2024,Brown,,,,9.844522437723423,6.0423869066357705,False
Green Navy Strength 5-Year,Inner Circle,,57.2%,Australia,5.9,20,5.0,2024,White,,,,8.944522437723423,5.448143083914662,False
Botanical,Boukman,,45.0%,Haiti,6.2,19,,2024,Flavoured,,,,9.195732273553991,5.614009631858106,False
Oloroso Anejo XO,Magec,,40.0%,Venezuela,5.9,19,,2024,Amber,Magec Oloroso Anejo XO,Spain,109.29,8.89573227355399,5.4159283576177355,True
XO,Opthimus,,,Dominican Republic,8.5,19,,2024,Brown,,,,11.49573227355399,7.132632734367604,False
Mardi Gras XO,Bayou,,40.0%,United States,6.8,19,,2024,Brown,,,,9.795732273553991,6.010172180338844,False
Cask Strength 30-Year,Quorhum,,,Dominican Republic,9.4,19,30.0,2024,Brown,,,,12.39573227355399,7.726876557088714,False
Spiced,Sugar Island,,,United States,5.5,19,,2024,Spiced,,,,8.49573227355399,5.15181999196391,False
Cocorange Old,Rum Company,,40.0%,Germany,4.6,19,,2024,Flavoured,,,,7.59573227355399,4.5575761692428,False
Coconut,Dead Man's Fingers,,,United Kingdom,5.2,19,,2024,Flavoured,,,,8.195732273553991,4.953738717723541,False
8-Year,Malecon,,40.0%,Panama,6.6,19,8.0,2024,Brown,,,,9.59573227355399,5.87811799751193,False
Coffee Infused Rum Red Label,Ron Colon Salvadoreno,,55.5%,El Salvador,5.5,19,,2024,Flavoured,,,,8.49573227355399,5.15181999196391,False
Spiced,Calico Jack,,,United States,6.7,19,,2024,Spiced,,,,9.695732273553991,5.944145088925388,False
2018 Barbados XO,Plantation,,,Multiple,7.2,19,,2018,Amber,Plantation Single Cask Multi Island Jamaica Barbados XO Côteaux du Layon,France,110.71,10.195732273553991,6.274280545992671,True
2018 Blackstrap,Enghaven,,40.0%,Denmark,5.9,19,,2018,Golden,,,,8.89573227355399,5.4159283576177355,False
Blanco,Barcelo,,,Dominican Republic,5.0,19,,2024,White,,,,7.99573227355399,4.821684534896626,False
Black Spiced,Bristol Classic,,,United Kingdom,6.1,19,,2024,Spiced,,,,9.09573227355399,5.547982540444648,False
Carta Dorada,Brugal,,,Dominican Republic,5.3,19,,2024,Golden,,,,8.295732273553991,5.019765809136997,False
Overproof,Autentico Nativo,,,Panama,8.1,19,,2024,Brown,Autentico Nativo Overproof,Panama,98.57,11.09573227355399,6.8685243687137785,True
Ancon 10-Year,Serum,,40.0%,Panama,7.6,19,10.0,2024,Brown,,,,10.59573227355399,6.5383889116464955,False
Gran Reserva 18-Year,Vigia,,40.0%,Cuba,6.8,19,18.0,2024,Brown,,,,9.795732273553991,6.010172180338844,False
2000 Jamaica,Mezan,,40.0%,Multiple,7.5,19,,2000,Brown,,,,10.49573227355399,6.472361820233039,False
Premium Reserva 15-Year,Contadora,,40.0%,Panama,7.5,19,15.0,2024,Brown,,,,10.49573227355399,6.472361820233039,False
Light,Sammys Beach Bar,,,United States,5.9,19,,2024,White,,,,8.89573227355399,5.4159283576177355,False
Overproof,Stolen,,,New Zealand,6.4,19,,2024,White,,,,9.39573227355399,5.7460638146850185,False
Spiced,Black Coral,,40.0%,United States,7.0,19,,2024,Spiced,,,,9.99573227355399,6.142226363165757,False
1980 25-Year,El Dorado,,,Guyana,9.8,18,25.0,1980,Brown,,,,12.744438979166441,7.957117452368299,False
2007 Last Ward 10-Year,Habitation Velier,,59.0%,Italy,8.1,18,10.0,2007,Brown,,,,11.04443897916644,6.834656898339537,False
1909 Superior Heritage Limited Edition,Bacardi,,40.0%,Puerto Rico,7.0,18,,2024,White,,,,9.94443897916644,6.108358892791515,False
Bourbon Cask,New Grove,,40.0%,Mauritius,4.8,18,,2024,Brown,,,,7.74443897916644,4.655762881695472,False
Cognac Cask Finish 12-Year,Summum,,40.0%,Trinidad and Tobago,6.9,18,12.0,2024,Brown,,,,9.84443897916644,6.042331801378059,False
XXX Coronation,Khukri,,,Nepal,6.4,18,,2024,Brown,,,,9.34443897916644,5.712196344310777,False
2005 Barbados 13-Year,Plantation,,,Multiple,7.3,18,13.0,2005,Amber,Plantation Old Reserve Barbados 2005,Barbados,85.36,10.24443897916644,6.306440167031885,True
2005 Fiji 15-Year,Plantation,,50.2%,Multiple,7.0,18,15.0,2005,Brown,,,,9.94443897916644,6.108358892791515,False
Cuba Single Island Blend,Cane Island,,40.0%,United Kingdom,6.0,18,,2024,Golden,,,,8.94443897916644,5.44808797865695,False
Golden Sun,Tommy Bahama,,40.0%,Barbados,5.8,18,,2024,Golden,,,,8.74443897916644,5.316033795830037,False
Don Pancho Reserva 30-Year,Origenes,,40.0%,Panama,8.6,18,30.0,2024,Brown,,,,11.54443897916644,7.164792355406819,False
Añejo Blanco,Legendario,,40.0%,Cuba,5.9,18,,2024,White,Legendario Anejo Blanco,Cuba,44.64,8.84443897916644,5.382060887243494,True
12-Year,RL Seale,Pot and Column Still,46.0%,Barbados,8.1,18,12.0,2024,Brown,,,,11.04443897916644,6.834656898339537,False
Small Batch,Tiburon,,40.0%,Belize,6.2,18,,2024,Golden,,,,9.144438979166441,5.580142161483864,False
Silver Label,Ronrico,,40.0%,Multiple,3.1,18,,2024,White,,,,6.04443897916644,3.5333023276667115,False
Estate Diamond Black Strap,Cruzan,,,"Virgin Islands, U.S.",6.2,18,,2024,Black,,,,9.144438979166441,5.580142161483864,False
Golden Cream,El Dorado,,,Guyana,7.3,18,,2024,Flavoured,,,,10.24443897916644,6.306440167031885,False
7-Year,Rumbero,,40.0%,Cuba,4.5,18,7.0,2024,Brown,,,,7.44443897916644,4.457681607455103,False
Amber 100,Dictador,,40.0%,Colombia,6.2,18,,2024,Golden,,,,9.144438979166441,5.580142161483864,False
1994 23-Year,Caroni,,,Trinidad and Tobago,8.2,18,23.0,1994,Brown,,,,11.14443897916644,6.900683989752993,False
Superior White,El Dorado,,40.0%,Guyana,5.8,18,,2024,White,,,,8.74443897916644,5.316033795830037,False
10-Year,St. Nicholas Abbey,Pot and Column Still,40.0%,Barbados,8.2,18,10.0,2024,Brown,,,,11.14443897916644,6.900683989752993,False
Red Label 42,Pusser's,,42.0%,"Virgin Islands, British",6.5,18,,2024,Brown,,,,9.44443897916644,5.778223435724233,False
2006 Peru 13-Year,Plantation,Pot and Column Still,43.1%,Multiple,7.9,18,13.0,2006,Brown,,,,10.84443897916644,6.702602715512624,False
84th Anniversary 6-12 Years,1931,Pot and Column Still,46.0%,Saint Lucia,6.7,18,,2024,Brown,,,,9.644438979166441,5.910277618551147,False
Elixir,Cubaney,,,Dominican Republic,7.0,18,,2024,Brown,,,,9.94443897916644,6.108358892791515,False
2003 Nicaragua,Plantation,,,Multiple,7.3,18,,2003,Brown,,,,10.24443897916644,6.306440167031885,False
Eclipse Heritage Blend Crisp & Aromatic,Mount Gay,,,Barbados,5.7,18,,2024,Brown,,,,8.644438979166441,5.250006704416582,False
Premium,Port Louiis,,40.0%,Mauritius,5.2,18,,2024,Brown,,,,8.144438979166441,4.9198712473493,False
British Caribbean,Virgin Gorda,,40.0%,Multiple,6.4,18,,2024,Black,,,,9.34443897916644,5.712196344310777,False
Barrel Aged,Saison,Pot and Column Still,,France,6.5,18,,2024,Brown,,,,9.44443897916644,5.778223435724233,False
Well Matured,Old Captain,,40.0%,Multiple,4.3,17,,2024,Golden,,,,7.190371757896164,4.2899284110153495,False
Ultra Superior Light,Starr,,40.0%,Mauritius,5.7,17,,2024,White,,,,8.590371757896165,5.21430769080374,False
2003 Jamaica Clarendon Mmw 16-Year,Plantation,,,Multiple,8.3,17,16.0,2003,Brown,,,,11.190371757896166,6.9310120675536115,False
Reserva Exclusiva,Espero,,40.0%,Panama,6.4,17,,2024,Brown,,,,9.290371757896164,5.676497330697936,False
Rye Whiskey Barrel Finished,Grander,,,Panama,6.9,17,,2024,Brown,,,,9.790371757896164,6.006632787765218,False
Republica Espresso,Bozkov,,40.0%,Czechia,5.5,17,,2024,Flavoured,,,,8.390371757896165,5.082253507976828,False
XO Cask Strength Limited Edition,Mount Gay,,,Barbados,8.5,17,,2024,Brown,,,,11.390371757896165,7.063066250380523,False
8-Year,Mombacho,,40.0%,Nicaragua,6.4,17,8.0,2024,Brown,,,,9.290371757896164,5.676497330697936,False
7-Year,Santisima Trinidad de Cuba,,40.0%,Cuba,6.9,17,7.0,2024,Brown,,,,9.790371757896164,6.006632787765218,False
Navy,Gunroom Spirit,,40.0%,United Kingdom,7.5,17,,2024,White,,,,10.390371757896165,6.4027953362459575,False
Guatemala Gran Reserva,Rum Nation,,40.0%,Italy,7.2,17,,2024,Brown,,,,10.090371757896165,6.204714062005588,False
Anejo,Carta Vieja,,40.0%,Panama,5.9,17,,2024,Golden,,,,8.790371757896164,5.346361873630653,False
2010 Exceptional Cask Selection XXI 12-Year,Foursquare,Pot and Column Still,60.0%,Barbados,9.0,17,12.0,2010,Brown,,,,11.890371757896165,7.3932017074478065,False
Pistol,Pyrat,,40.0%,Anguilla,6.7,17,,2024,Golden,,,,9.590371757896165,5.874578604938305,False
Reserva 22-Year,El Ron Prohibido,,40.0%,Mexico,6.2,17,22.0,2024,Amber,El Ron Prohibido Gran Reserva 15 Years,Mexico,76.0,9.090371757896165,5.544443147871023,True
2006 Sassafras Released by Velier 14-Year,Foursquare,Pot and Column Still,61.0%,Barbados,9.3,17,14.0,2006,White,,,,12.190371757896166,7.591282981688176,False
30th Anniversary Oporto Finish,Quorhum,,40.0%,Dominican Republic,8.1,17,,2024,Brown,,,,10.990371757896163,6.798957884726696,False
Cuban Smoky,Havana Club,,40.0%,Cuba,6.9,17,,2024,Amber,Havana Club Cuban Smoky,Cuba,56.67,9.790371757896164,6.006632787765218,True
Ron Miel,Arehucas,,,Spain,6.8,17,,2024,Flavoured,,,,9.690371757896164,5.940605696351762,False
Special,Coconut Cartel,,,Guatemala,7.0,17,,2024,Flavoured,,,,9.890371757896165,6.0726598791786754,False
Rare Single Cask Ltd Reserve 18-Year,St. Nicholas Abbey,Pot and Column Still,40.0%,Barbados,8.8,17,18.0,2024,Brown,,,,11.690371757896166,7.261147524620894,False
Spiced,Cayman Reef,,40.0%,Multiple,7.4,17,,2024,Spiced,Cayman Reef,Barbados,55.0,10.290371757896164,6.3367682448325,True
Banana,Cruzan,,,"Virgin Islands, U.S.",5.1,17,,2024,Flavoured,,,,7.990371757896164,4.818145142323001,False
Pineapple,Malibu,,,Canada,3.6,17,,2024,Flavoured,,,,6.490371757896165,3.827738771121154,False
Extra Anejo 25-Year,Santiago de Cuba,,,Cuba,9.3,17,25.0,2024,Brown,,,,12.190371757896166,7.591282981688176,False
2017 Edition 17 La Palma Duro 7-Year,Tres Hombres,,0.1%,Multiple,5.1,17,7.0,2017,Brown,,,,7.990371757896164,4.818145142323001,False
Coconut Spiced Cream,Blue Chair Bay,,,Barbados,6.3,17,,2024,Flavoured,,,,9.190371757896164,5.61047023928448,False
Trophy Release,Grander,,,Panama,6.7,17,,2024,Brown,,,,9.590371757896165,5.874578604938305,False
Orange 100,Dictador,,,Colombia,6.3,17,,2024,Flavoured,,,,9.190371757896164,5.61047023928448,False
1952 Solera,San Miguel,,40.0%,Ecuador,5.2,17,,1952,Brown,,,,8.090371757896165,4.884172233736458,False
Spiced,Calypso,,,Barbados,4.9,17,,2024,Spiced,,,,7.790371757896165,4.686090959496089,False
1996 Trinidad,Bristol Classic,,,United Kingdom,7.9,17,,1996,Brown,,,,10.790371757896164,6.666903701899783,False
2000 Panama,Plantation,,,Multiple,7.1,17,,2000,Brown,,,,9.990371757896163,6.138686970592131,False
Master Blenders Reserve 2021 Edition,Black Tot,Pot Still,54.5%,United Kingdom,8.2,17,,2024,Brown,,,,11.090371757896165,6.864984976140153,False
Spiced,Cargo Cult,,40.0%,Australia,5.7,17,,2024,Spiced,,,,8.590371757896165,5.21430769080374,False
Solera Centenaria 21-Year,Carupano,,40.0%,Venezuela,7.6,17,21.0,2024,Brown,,,,10.490371757896163,6.468822427659413,False
Aficionado,Rum Company,,40.0%,Germany,7.7,17,,2024,Brown,,,,10.590371757896165,6.53484951907287,False
1929,Cartavio,,40.0%,Peru,6.4,16,,2024,Brown,,,,9.233213344056217,5.638757292541352,False
12-Year,Ron Maja,,40.0%,El Salvador,6.9,16,12.0,2024,Amber,Ron Maja 12 años,El Salvador,100.71,9.733213344056217,5.968892749608635,True
7-Year,Cana Brava,,,Panama,5.8,16,7.0,2024,Brown,,,,8.633213344056216,5.242594744060613,False
Gran Reserva Overproof 3-Year,Patridom,Column Still (5+),57.5%,Dominican Republic,7.1,16,3.0,2024,White,,,,9.933213344056217,6.100946932435547,False
Eco 15-Year,Flor de Caña,,40.0%,Nicaragua,7.1,16,15.0,2024,Amber,Flor de Cana Eco-15,Nicaragua,80.67,9.933213344056217,6.100946932435547,True
2004 Belize Port Finish,Plantation,,,Multiple,8.3,16,,2004,Brown,,,,11.133213344056216,6.893272029397025,False
XO 8-Year,Alegro,,40.0%,Dominican Republic,7.0,16,8.0,2024,Brown,,,,9.833213344056215,6.03491984102209,False
Deluxe Matured,Old Port,,40.0%,India,5.9,16,,2024,Brown,,,,8.733213344056217,5.30862183547407,False
2001 Nicaragua,Plantation,,,Multiple,7.8,16,,2001,Brown,,,,10.633213344056216,6.563136572329743,False
Old Tradition 5-Year,New Grove,,40.0%,Mauritius,5.6,16,5.0,2024,Golden,,,,8.433213344056217,5.1105405612337,False
40,Pott,,40.0%,Germany,3.5,16,,2024,Golden,,,,6.333213344056216,3.7239716415511124,False
Tasty & Singular 7-Year,Ocean's,,40.0%,Spain,6.6,16,7.0,2024,Golden,,,,9.433213344056217,5.770811475368265,False
Jamaica 7-Year,Papalin,Pot Still,47.0%,Multiple,7.8,16,7.0,2024,Brown,,,,10.633213344056216,6.563136572329743,False
Golden Cask 18-Year,Carta Vieja,,40.0%,Panama,6.3,16,18.0,2024,Brown,,,,9.133213344056216,5.572730201127895,False
Righteous,Old St. Pete,Pot and Column Still,,United States,3.6,16,,2024,Spiced,,,,6.433213344056217,3.7899987329645697,False
British West Indies XO,Rum & Cane,,40.0%,Andorra,5.1,16,,2024,Brown,,,,7.933213344056216,4.780405104166416,False
Mayan Spiced,Cozumel,,,Mexico,5.3,16,,2024,Spiced,,,,8.133213344056216,4.91245928699333,False
Estate Reserve,Botany Bay,,40.0%,"Virgin Islands, U.S.",7.5,16,,2024,Brown,,,,10.333213344056215,6.365055298089373,False
Coffee Infused Rum Green Label,Ron Colon Salvadoreno,,40.5%,El Salvador,5.5,16,,2024,Flavoured,,,,8.333213344056215,5.044513469820242,False
Hereditas 14-Year,Foursquare,Pot and Column Still,56.0%,Barbados,8.9,16,14.0,2024,Brown,,,,11.733213344056217,7.289434577877765,False
Venezuela,La Maison Du Rhum,,40.0%,France,8.8,16,,2024,Brown,,,,11.633213344056216,7.223407486464307,False
2004 St. Lucia,Plantation,,,Multiple,7.9,16,,2004,Brown,,,,10.733213344056217,6.629163663743201,False
Aged 10-Year,Deadhead,,40.0%,Mexico,6.4,16,10.0,2024,Brown,,,,9.233213344056217,5.638757292541352,False
9-Year,Juan Santos,,40.0%,Colombia,6.3,16,9.0,2024,Amber,Juan Santos 9 Year,Colombia,71.67,9.133213344056216,5.572730201127895,True
Gran Platinum,Barcelo,,37.5%,Dominican Republic,6.9,16,,2024,White,,,,9.733213344056217,5.968892749608635,False
Owner's Reserve,Selvarey,,40.0%,Panama,9.5,16,,2024,Brown,,,,12.333213344056215,7.685597126358504,False
1998 10-Year,Dzama,,40.0%,Madagascar,7.3,16,10.0,1998,Brown,,,,10.133213344056216,6.23300111526246,False
Oro Dark,Montanya,,40.0%,United States,6.2,16,,2024,Golden,,,,9.033213344056216,5.506703109714438,False
Anejo 5-Year,Bonampak,,40.0%,Mexico,4.9,15,5.0,2024,Brown,,,,7.672588722239782,4.608322246873705,False
Tradicní,Bozkov,,40.0%,Czechia,1.9,15,,2024,Golden,,,,4.672588722239781,2.6275095044700087,False
Spiced,The Lash,,,Trinidad and Tobago,7.2,15,,2024,Spiced,St-Lucia Distillers Chairman's Reserve Spiced,Saint Lucia,49.67,9.97258872223978,6.126945349383204,True
2006 Officier’s Releases No1 Port Cask Finish 13-Year,Admiral Rodney,Column Still (1-4),45.0%,Saint Lucia,8.1,15,13.0,2006,Brown,,,,10.872588722239781,6.721189172104313,False
Barbados Single Cask Wild Cherry Finish 12-Year,Plantation,,,Multiple,8.6,15,12.0,2024,Brown,Plantation Barbados 12 yo Single Cask Wild Cherry Tree Finish 2003,Barbados,143.93,11.372588722239781,7.051324629171595,True
Platinum,Elements 8,,40.0%,Saint Lucia,6.7,15,,2024,White,,,,9.47258872223978,5.79680989231592,False
Gold,Canaoak,,40.0%,Mauritius,7.3,15,,2024,Brown,,,,10.07258872223978,6.192972440796661,False
Trinidad 5-Year,Rum Nation,,40.0%,Italy,7.0,15,5.0,2024,Golden,,,,9.772588722239782,5.994891166556291,False
Claro 100,Dictador,,,Colombia,6.3,15,,2024,White,,,,9.07258872223978,5.532701526662095,False
2020 Venezuela Limited Edition 8-Year,Loft House,Column Still (1-4),40.0%,Netherlands,6.8,15,8.0,2020,Brown,,,,9.57258872223978,5.862836983729377,False
Pineapple,Cruzan,,21.0%,"Virgin Islands, U.S.",5.5,15,,2024,Flavoured,,,,8.272588722239782,5.004484795354443,False
Reserve,Queen Charlotte's,,40.0%,United States,7.1,15,,2024,Brown,,,,9.872588722239781,6.060918257969748,False
1996 Enmore,El Dorado,,57.2%,Guyana,8.9,15,,1996,Brown,,,,11.672588722239782,7.249405903411965,False
White,Copalli,,40.0%,Belize,6.6,15,,2024,White,,,,9.372588722239781,5.730782800902464,False
Gran Reserva Coffee,Bonampak,,40.0%,Mexico,5.9,15,,2024,Brown,,,,8.672588722239782,5.268593161008269,False
Double Black,Cayman Reef,,40.0%,Multiple,7.3,15,,2024,Black,,,,10.07258872223978,6.192972440796661,False
Extra Lite 4,Flor de CaÃ±a,,40.0%,Nicaragua,5.9,15,,2024,White,,,,8.672588722239782,5.268593161008269,False
2007 13-Year,Diplomatico,Column Still (5+),43.0%,Venezuela,9.0,15,13.0,2007,Brown,,,,11.772588722239782,7.3154329948254215,False
Number 12,Cane Run,,40.0%,Trinidad and Tobago,3.6,15,,2024,White,,,,6.372588722239781,3.7499700584987696,False
Banana Peel,Discarded,,40.0%,United Kingdom,7.1,15,,2024,Flavoured,,,,9.872588722239781,6.060918257969748,False
5-Year,Centenario,,,Costa Rica,5.7,15,5.0,2024,Brown,,,,8.47258872223978,5.136538978181355,False
Original,Owney's,,40.0%,United States,6.2,15,,2024,White,,,,8.97258872223978,5.466674435248638,False
1987 Seleccion,Malteco,,,Guatemala,8.9,15,,1987,Brown,,,,11.672588722239782,7.249405903411965,False
17-Year,Ophyum,,40.0%,Dominican Republic,7.4,15,17.0,2024,Brown,,,,10.172588722239782,6.258999532210118,False
Original Cognac Cask Finished,Spytail,,40.0%,France,7.2,15,,2024,Brown,,,,9.97258872223978,6.126945349383204,False
83rd Anniversary 6-15 Years,1931,Pot and Column Still,43.0%,Saint Lucia,7.2,15,,2024,Brown,,,,9.97258872223978,6.126945349383204,False
Trinidad 7-Year,Zaka,,40.0%,Mauritius,6.4,15,7.0,2024,Golden,,,,9.172588722239782,5.598728618075553,False
Suau,Ron Jungla,,40.0%,Spain,6.9,15,,2024,Brown,,,,9.672588722239782,5.928864075142835,False
Steelpan,Marauda,,40.0%,Multiple,6.2,15,,2024,Golden,,,,8.97258872223978,5.466674435248638,False
White,The Funk,,40.0%,United States,5.3,15,,2024,White,,,,8.07258872223978,4.87243061252753,False
2004 Albion,El Dorado,,,Guyana,8.7,15,,2004,Brown,,,,11.47258872223978,7.117351720585051,False
Special Barbados,Alleyne Arthur's,,,Barbados,6.6,15,,2024,Golden,,,,9.372588722239781,5.730782800902464,False
Pango,Barbancourt,,,Haiti,6.5,15,,2024,Flavoured,Barbancourt Pango,France,49.33,9.272588722239782,5.664755709489009,True
White Stache,Hamilton,,40.0%,Multiple,6.9,15,,2024,White,,,,9.672588722239782,5.928864075142835,False
Peter,Caraibe,,40.0%,Denmark,5.5,15,,2024,Brown,,,,8.272588722239782,5.004484795354443,False
Sauternes Cask Finish 12-Year,Summum,,40.0%,Trinidad and Tobago,6.7,15,12.0,2024,Brown,,,,9.47258872223978,5.79680989231592,False
Anejo Suave,Cubay,,40.0%,Cuba,5.8,15,,2024,Brown,,,,8.57258872223978,5.202566069594812,False
Anejo Gran Reserva,Cuate,,40.0%,Germany,6.3,15,,2024,Brown,,,,9.07258872223978,5.532701526662095,False
Bond No 8 1-8 Years,Stadeâ€™s,,40.0%,Barbados,7.3,14,,2024,Golden,,,,10.00805020110221,6.150359532448263,False
2007 Australia 14-Year,Plantation,Pot Still,49.3%,Multiple,8.0,14,14.0,2007,Brown,,,,10.70805020110221,6.612549172342459,False
Pineapple,Dead Man's Fingers,,,United Kingdom,5.6,14,0.0,2024,Flavoured,,,,8.30805020110221,5.027898978419502,False
2004 Nicaragua,Plantation,,,Multiple,7.8,14,,2004,Amber,Plantation Old Reserve Nicaragua 2004,Nicaragua,71.07,10.50805020110221,6.480494989515545,True
Jamaica,Rum Artesanal,,40.0%,Multiple,6.5,14,,2024,Brown,,,,9.20805020110221,5.622142801140612,False
Anejo 7-Year,Ron Perla Del Norte,,40.0%,Cuba,6.3,14,7.0,2024,Brown,,,,9.00805020110221,5.490088618313697,False
Dark,Ã–,,40.0%,Finland,4.1,14,,2024,Brown,Ron Zacapa Centenario Sistema Solera 23 Gran Reserva,Guatemala,115.33,6.80805020110221,4.037492607217655,True
2017 Forsyths White WPE (bottled),Habitation Velier,Pot Still,57.0%,Italy,7.9,14,,2017,White,,,,10.60805020110221,6.546522080929003,False
White Sands,Tommy Bahama,,40.0%,Barbados,6.1,14,,2024,White,,,,8.80805020110221,5.358034435486784,False
Anejo 5-Year,Ginebra San Miguel,,40.0%,Philippines,4.2,14,5.0,2024,Brown,,,,6.90805020110221,4.1035196986311115,False
1996 The Last Caroni 23-Year,Velier,Pot and Column Still,61.9%,Multiple,9.8,14,23.0,1996,Brown,,,,12.508050201102211,7.801036817784677,False
Nelson's Blood Yachting Decanter,Pusser's,,47.75%,"Virgin Islands, British",7.8,14,,2024,Brown,,,,10.50805020110221,6.480494989515545,False
Selected 8-Year,Ultimatum,,40.0%,Netherlands Antilles,6.9,14,8.0,2024,Brown,,,,9.60805020110221,5.8862511667944375,False
Spiced,Lugger,,40.0%,United Kingdom,7.3,14,,2024,Spiced,,,,10.00805020110221,6.150359532448263,False
2018 To the Spice 2-Year,Cut,,37.5%,United Kingdom,7.8,14,2.0,2018,Spiced,,,,10.50805020110221,6.480494989515545,False
Neo,Facundo,,40.0%,Puerto Rico,5.6,14,,2024,White,,,,8.30805020110221,5.027898978419502,False
10-Year,Izalco,,40.0%,United States,7.3,14,10.0,2024,Amber,Izalco 10 Years,United States,120.67,10.00805020110221,6.150359532448263,True
Anejo Especial,Centenario,,40.0%,Costa Rica,6.6,14,,2024,Brown,,,,9.30805020110221,5.688169892554068,False
Pineapple,Captain Morgan,,,Puerto Rico,2.8,14,,2024,Flavoured,,,,5.508050201102209,3.17914041884272,False
Tobacco Honey,Ron Miel,,,Spain,6.8,14,,2024,Flavoured,,,,9.50805020110221,5.820224075380979,False
Legendario 25-Year,Carupano,,40.0%,Venezuela,9.0,14,25.0,2024,Brown,,,,11.70805020110221,7.272820086477024,False
1979 Best of,Dictador,,,Colombia,7.9,14,,1979,Brown,,,,10.60805020110221,6.546522080929003,False
15-Year,Ron Panama,,40.0%,Panama,6.7,14,15.0,2024,Amber,Ron Abuelo 12 year,Panama,96.0,9.40805020110221,5.754196983967525,True
54,Pott,,,Germany,4.3,14,,2024,Golden,,,,7.008050201102209,4.169546790044568,False
2000 Trinidad,Plantation,,,Multiple,7.2,14,,2000,Brown,,,,9.90805020110221,6.084332441034807,False
Master Blender's Legacy,Appleton Estate,,,Jamaica,8.8,14,,2024,Brown,,,,11.508050201102211,7.140765903650111,False
Casa Special Reserve,Bacardi,,40.0%,Puerto Rico,9.2,14,,2024,Brown,,,,11.90805020110221,7.404874269303937,False
Trinidad 8-Year,Cane Island,,,United Kingdom,6.3,14,8.0,2024,Brown,,,,9.00805020110221,5.490088618313697,False
Omerta,Omerta,,,Belgium,6.2,14,,2024,Black,,,,8.90805020110221,5.424061526900241,False
Batavia Arrack Van Oosten,"Dutch East Indies Trading, Ltd.",,,Indonesia,6.8,14,,2024,White,,,,9.50805020110221,5.820224075380979,False
Charanda Blanco,Uruapan,,40.0%,Mexico,6.4,14,,2024,White,,,,9.10805020110221,5.556115709727155,False
American Oak Aged,Mhoba,,,South Africa,6.2,14,,2024,Brown,,,,8.90805020110221,5.424061526900241,False
VSOP,Penny Blue,,40.0%,Mauritius,7.4,14,,2024,Brown,,,,10.10805020110221,6.2163866238617205,False
Trawler,Watson's,,40.0%,United Kingdom,6.8,14,,2024,Golden,,,,9.50805020110221,5.820224075380979,False
Cane Crush,Arcane,,,Mauritius,6.4,14,,2024,White,,,,9.10805020110221,5.556115709727155,False
Añejo Especial,Ocumare,,40.0%,Venezuela,5.6,14,,2024,Golden,,,,8.30805020110221,5.027898978419502,False
2016 Casimir,Clairin,,,Haiti,8.2,14,,2016,White,,,,10.90805020110221,6.744603355169372,False
2000 Caroni,Velier,,,Multiple,9.3,14,,2000,Brown,,,,12.008050201102211,7.470901360717395,False
Bourbon Barrel Finish,Papas Pilar,,,United States,8.1,14,,2024,Brown,,,,10.80805020110221,6.678576263755915,False
Spiced,Pusser's,,35.0%,"Virgin Islands, British",5.9,14,,2024,Spiced,,,,8.60805020110221,5.225980252659873,False
Dark,Savoy,,40.0%,Bulgaria,4.5,14,,2024,Black,,,,7.2080502011022105,4.301600972871481,False
Aged White,Denizen,,40.0%,Trinidad,6.6,14,,2024,White,,,,9.30805020110221,5.688169892554068,False
