Request,Company,Name,Full Name,Type,Size,Country,Price
Vizcaya VXOP 21,Vizcaya,VXOP 21,Vizcaya VXOP Cask No. 21,Amber rum,750 ml,Dominican Republic,104.75
Gold of Mauritius Dark,Gold of Mauritius,Dark,Gold of Mauritius,Brown rum,700 ml,Mauritius,78.00
Plantation Original Dark,Plantation,Original Dark,Plantation Original Dark,Brown rum,750 ml,France,31.50
Cruzan Single Barrel,Cruzan,Single Barrel,Cruzan Single Barrel,Amber rum,750 ml,United States,40.50
Appleton Estate Reserve 8-Year,Appleton Estate,Reserve 8-Year,Appleton Estate Reserve 8 years,Amber rum,750 ml,Jamaica,37.25
Dead Man's Fingers Spiced,Dead Man's Fingers,Spiced,Dead Man's Fingers,Spiced rum,750 ml,United Kingdom,31.25
Bacardi Limon,Bacardi,Limon,Bacardi Limon,Flavoured rum (lemon),750 ml,United States,26.80
Barcelo Anejo,Barcelo,Anejo,Barcelo Gran Anejo,Amber rum,750 ml,Dominican Republic,31.75
Appleton Estate Reserve,Appleton Estate,Reserve,Appleton Estate Reserve 8 years,Amber rum,750 ml,Jamaica,37.25
El Ron Prohibido Habanero 12-Year,El Ron Prohibido,Habanero 12-Year,El Ron Prohibido 12 years old Habanero,Amber rum,750 ml,Mexico,46.25
Dos Maderas Luxus,Dos Maderas,Luxus,Dos Maderas Luxus,Amber rum,700 ml,Spain,200.00
Plantation Gran Anejo Guatemala,Plantation,Gran Anejo Guatemala,Plantation Guatemala Gran Anejo,Amber rum,700 ml,Guatemala,42.00
Dos Maderas 5+3,Dos Maderas,5+3,Williams & Humbert Dos Maderas 5+3,Amber rum,750 ml,Spain,49.25
Brugal XV,Brugal,XV,Brugal XV,Amber rum,750 ml,Dominican Republic,39.00
Plantation Isle Fiji,Plantation,Isle Fiji,Plantation Isle of Fidji,Amber rum,700 ml,Fiji,38.50
Bacardi Gran Reserva Diez 10-Year,Bacardi,Gran Reserva Diez 10-Year,Bacardi Gran Reserva Diez 10 Years Old,Amber rum,750 ml,Puerto Rico,45.75
Don Q Cristal,Don Q,Cristal,Don Q Cristal,White rum,750 ml,Puerto Rico,28.40
Centenario 12-Year,Centenario,12-Year,Flor de Cana Centenario 12 Ans,Amber rum,750 ml,Nicaragua,45.75
El Dorado 3-Year,El Dorado,3-Year,El Dorado Blanc 3 Years,White rum,750 ml,Guyana,27.85
Mezan XO Jamaica,Mezan,XO Jamaica,Plantation Single Cask Multi Island Jamaica Barbados XO Côteaux du Layon,Amber rum,700 ml,France,77.50
Baron Samedi Spiced,Baron Samedi,Spiced,Baron Samedi,Spiced rum,750 ml,United States,32.00
