Name,Company,Type,Distillation,ABV,Location,Score,nRatings,Price,Aged,Distilled,bAveScore
2017 Hampden LROK White,Habitation Velier,Light,,62.5%,Italy,8.8,12.0,,,2017.0,7.268897666041553
Coeur d'Ambre 18-Mois,La Favorite,Agricole,Column Still (1-4),45.0%,Martinique,6.5,12.0,,,,6.418393300827578
Gold,Stolen,Gold,,,New Zealand,5.8,12.0,,,,6.159544146197237
Dark,Navy Bay,Dark,,40.0%,Jamaica,4.9,12.0,,,,5.826738090243943
Estate Diamond Light,Cruzan,Light,,40.0%,"Virgin Islands, U.S.",6.5,12.0,,,,6.418393300827578
Grand Reserve,Rumson's,Aged,,40.0%,United States,7.8,12.0,,,,6.899113159426781
Gold,Castillo,Gold,,,Puerto Rico,4.1,12.0,,,,5.530910484952124
Gold,Bones,Gold,,40.0%,"Virgin Islands, U.S.",8.2,12.0,,,,7.047026962072691
Coconut,Sugar Island,Flavored,,,United States,4.5,12.0,,,,5.678824287598034
Grande Reserve XO Blue Label 8-Year,Depaz,Agricole,Column Still (1-4),45.0%,Martinique,7.5,12.0,,8.0,,6.7881778074423496
Anejo 5-Year,Mulata,Aged,,40.0%,Cuba,5.6,12.0,,5.0,,6.085587244874283
Dark,Tiki Lovers,Gold,,,Germany,5.5,12.0,,,,6.0486087942128055
Dark,Lyon,Dark,,40.0%,United States,6.5,12.0,,,,6.418393300827578
2015 Liberation 6-Year,Rhum Rhum,Aged,Pot Still,45.0%,Guadeloupe,7.7,12.0,,6.0,2015.0,6.862134708765304
Guayabita del Pinar,La Occidental,Aged,,,Cuba,7.0,12.0,,,,6.603285554134964
Mutiny,Bundaberg,Spiced,,40.0%,Australia,5.6,12.0,,,,6.085587244874283
Hors D´age Heritage,Santos Dumont,Aged,,43.8%,Brazil,7.8,12.0,,,,6.899113159426781
2008 Guyana,Plantation,Aged,,,Multiple,5.9,12.0,,,2008.0,6.196522596858715
XO 12-Year,Dillon,Agricole,Column Still (1-4),45.0%,Martinique,7.4,12.0,,12.0,,6.751199356780873
Handcrafted I,Skotlander,Light,,40.0%,Denmark,5.3,12.0,,,,5.9746518928898515
Añejo 3-Year,Varadero,Gold,,40.0%,Cuba,4.5,12.0,,3.0,,5.678824287598034
République Dominicaine,La Maison Du Rhum,Aged,,,France,7.1,12.0,,,,6.640264004796441
Asia Pacific XO,Rum & Cane,Aged,,40.0%,Andorra,6.6,12.0,,,,6.4553717514890545
Gran Reserva Superior,Kirk and Sweeney,Aged,,40.0%,Dominican Republic,6.5,12.0,62.99,,,6.418393300827578
Silver Dry,Mulata,Light,,40.0%,Cuba,5.8,12.0,,,,6.159544146197237
Barbados XO Anniversary Edition,Rum Nation,Aged,,40.0%,Italy,6.8,12.0,,,,6.529328652812009
Demerara,East London Liquor Company,Aged,,40.0%,United Kingdom,6.9,12.0,,,,6.566307103473487
2006 Port Mourant Single Still,El Dorado,Aged,,,Guyana,7.8,12.0,,,2006.0,6.899113159426781
Estate No 10,Westerhall,Aged,,40.0%,Grenada,6.9,12.0,,,,6.566307103473487
2018 Casimir,Clairin,Light,,,Haiti,8.0,12.0,,,2018.0,6.973070060749736
5-Year,Damoiseau,Agricole,Column Still (1-4),42.0%,Guadeloupe,7.2,12.0,,5.0,,6.677242455457918
Silver Reserve,Privateer,Light,,40.0%,United States,7.3,12.0,,,,6.714220906119396
Spiced,Largo Bay,Spiced,,40.0%,United States,4.7,12.0,,,,5.752781188920988
Heritage 1-Year,Saint James,Agricole,Column Still (1-4),40.0%,Martinique,5.7,12.0,,1.0,,6.12256569553576
Reunion 7-Year,Rum Nation,Agricole,,40.0%,Italy,6.6,12.0,,7.0,,6.4553717514890545
2004 Grenada,Plantation,Aged,,,Multiple,7.4,12.0,,,2004.0,6.751199356780873
Spiced,Lady Bligh,Spiced,,40.0%,United States,4.8,12.0,,,,5.789759639582465
Gran Anejo 3-Year,The Brand New Republique,Aged,,40.0%,Cuba,5.1,12.0,,3.0,,5.900694991566897
8-Year,Ron Maja,Aged,,40.0%,El Salvador,7.5,12.0,,8.0,,6.7881778074423496
Reserve 8-Year,Bambarra,Aged,,40.0%,Turks and Caicos Islands,7.6,11.0,,8.0,,6.800519981074947
15-Year,Cuba Libre El Dorado,Aged,,40.0%,Guyana,8.2,11.0,,15.0,,7.010368005391056
White,Barbancourt,Light,,40.0%,Haiti,7.1,11.0,,,,6.625646627478189
Echter Ubersee,James Cook,Gold,,40.0%,Germany,3.1,11.0,,,,5.226659798704127
Exclusive,Appleton Estate,Aged,,,Jamaica,8.4,11.0,,,,7.0803173468297596
Coffee,Espero,Flavored,,,Panama,6.0,11.0,,,,6.240925249565322
52,El Pasador de Oro,Aged,,,France,8.2,11.0,,,,7.010368005391056
XO Hors d'Age Grenadier 10-Year,Dillon,Agricole,Column Still (1-4),43.0%,Martinique,8.1,11.0,,10.0,,6.975393334671705
Barrel Rested,Copalli,Gold,,,Belize,5.9,11.0,,,,6.205950578845971
Smooth Ambler,Revelation,Gold,,,United States,7.2,11.0,,,,6.660621298197541
1998 Familia,Aldea,Aged,,40.0%,Spain,7.2,11.0,,,1998.0,6.660621298197541
2004 Panama,Mezan,Aged,,40.0%,Multiple,7.9,11.0,,,2004.0,6.905443993233002
Gold,Largo Bay,Gold,,40.0%,United States,2.9,11.0,,,,5.156710457265423
Coconut,Tortuga,Flavored,,40.0%,Cayman Islands,6.5,11.0,,,,6.41579860316208
Old Reserve,Commander's,Aged,,40.0%,United States,6.3,11.0,,,,6.345849261723376
Spiced,Blackbeard,Spiced,,,Puerto Rico,6.1,11.0,,,,6.275899920284673
2007 CuvÃ©e de l'an 3-Year,HSE,Agricole,Column Still (1-4),50.0%,Martinique,7.5,11.0,,3.0,2007.0,6.765545310355596
Light,Black Coral,Light,,40.0%,United States,6.3,11.0,,,,6.345849261723376
Legado,Comandante,Aged,,40.0%,Czech Republic,6.9,11.0,,,,6.555697286039486
Anniversary,Austrian Empire,Aged,,40.0%,United Kingdom,7.6,11.0,,,,6.800519981074947
Number 1 Sherry Cask,Angostura,Aged,,40.0%,Trinidad and Tobago,7.0,11.0,,,,6.590671956758838
Traditional White,Barbancourt,Light,,40.0%,Haiti,5.9,11.0,,,,6.205950578845971
Spiced,Sainte-Marie,Spiced,,40.0%,Canada,6.0,11.0,,,,6.240925249565322
Vanilla,St. Aubin,Flavored,,,Mauritius,6.7,11.0,,,,6.485747944600783
Clairin,Saint Benevolence,Light,,,Haiti,5.5,11.0,,,,6.066051895968564
Dubar Imperial,Dupuy Barceló,Aged,,,Dominican Republic,6.8,11.0,,,,6.520722615320134
2003 Rare Proof 13-Year,Malecon,Aged,,,Panama,8.0,11.0,,13.0,2003.0,6.940418663952353
2012 Jamaica Worthy Park,Transcontinental Rum Line,Aged,,,France,7.3,11.0,,,2012.0,6.695595968916892
Anejo Blanco Cuba,Havana Club,Aged,,40.0%,Cuba,4.1,11.0,,,,5.5764065058976415
Royal Oak,Angostura,Gold,,40.0%,Trinidad and Tobago,4.9,11.0,,,,5.856203871652455
Elixir,Hispánico,Gold,,40.0%,Dominican Republic,5.4,11.0,,,,6.031077225249213
Superior 12-Year,Tanduay,Aged,,40.0%,Philippines,5.0,11.0,,12.0,,5.891178542371806
Barrel Aged,Three Sheets,Aged,,13.8%,United States,6.1,11.0,,,,6.275899920284673
Classic Gold 5-Year,Monymusk,Gold,,40.0%,Jamaica,6.0,11.0,,5.0,,6.240925249565322
2019 First Drops,Providence,Light,Column Still (1-4),57.0%,Haiti,7.6,11.0,,,2019.0,6.800519981074947
Gold Label,Ronrico,Gold,,40.0%,Multiple,3.1,11.0,,,,5.226659798704127
Spresso Coffee Liquor,Flor de CaÃ±a,Flavored,,,Nicaragua,6.3,11.0,,,,6.345849261723376
Lontan 57,Savanna,Light,,,Reunion,8.0,11.0,,,,6.940418663952353
Salted & Spiced,Union 55,Flavored,,,Netherlands,6.5,11.0,,,,6.41579860316208
2015 Master Distillers Blenders Edition,Bundaberg,Aged,,,Australia,5.7,11.0,,,2015.0,6.136001237407267
1996 Jamaica Long Pond ITP & HJC 24-Year,Plantation,Aged,,49.1%,Multiple,8.3,11.0,,24.0,1996.0,7.045342676110408
Quintessence 6-Year,Saint James,Agricole,Column Still (1-4),42.0%,Martinique,8.3,11.0,,6.0,,7.045342676110408
12-Year,Old Distiller,Aged,,40.0%,Dominican Republic,7.7,11.0,,12.0,,6.835494651794299
Caribbean Dark,Ten to One,Aged,,40.0%,Trinidad and Tobago,7.0,11.0,38.99,,,6.590671956758838
Reserve,Bundaberg,Aged,,40.0%,Australia,5.3,11.0,,,,5.996102554529861
50/50 RumRye,Ron Colon Salvadoreno,Aged,,50.0%,El Salvador,6.7,11.0,29.99,,,6.485747944600783
Carta Dorada,Cubay,Gold,,40.0%,Cuba,5.5,11.0,,,,6.066051895968564
Signature,Yellow Snake,Aged,,40.0%,Jamaica,5.0,11.0,,,,5.891178542371806
Viejo Maestro 6-Year,Roble,Aged,,40.0%,Venezuela,5.9,11.0,,6.0,,6.205950578845971
Gran Reserve Especial,Ron Viejo de Caldas,Aged,,,Colombia,7.1,11.0,,,,6.625646627478189
Platino Light,Montanya,Light,,40.0%,United States,6.3,11.0,,,,6.345849261723376
2017 Forsyths 151 Proof White,Habitation Velier,Light,Pot Still,75.5%,Italy,7.5,11.0,,,2017.0,6.765545310355596
Shrubb Liqueur d'Orange,Rhum JM,Flavored,Column Still (1-4),40.0%,Martinique,6.6,11.0,,,,6.450773273881431
12-Year,Coruba,Aged,,40.0%,Jamaica,5.1,11.0,,12.0,,5.926153213091157
Demerara Dark,Diamond Reserve,Dark,,,Guyana,6.6,11.0,,,,6.450773273881431
Florida Spiced,Wicked Dolphin,Spiced,,,United States,6.9,11.0,,,,6.555697286039486
1993 CuvÃ©e du Millenaire 8-Year,Damoiseau,Agricole,Column Still (1-4),42.0%,Guadeloupe,6.4,11.0,,8.0,1993.0,6.380823932442729
Kingston 62,Appleton Estate,Gold,,40.0%,Jamaica,5.1,11.0,,,,5.926153213091157
Chrystal Cachaca,Ypioca,Cachaca,,40.0%,Brazil,5.8,11.0,,,,6.170975908126618
Silver,Mount Gay,Light,,40.0%,Barbados,4.1,11.0,,,,5.5764065058976415
Barbados 8-Year,1731,Aged,,,Netherlands,7.2,11.0,,8.0,,6.660621298197541
50th Anniversary 7-Year,Pusser's,Aged,,54.5%,"Virgin Islands, British",8.1,11.0,,7.0,,6.975393334671705
2008 Trinidad 11-Year,Plantation,Aged,,,Multiple,7.5,11.0,,11.0,2008.0,6.765545310355596
Coconut,Selvarey,Flavored,,,Panama,7.9,11.0,,,,6.905443993233002
XO Founders Reserv,A. H. Riise,Aged,,44.5%,Denmark,7.3,11.0,,,,6.695595968916892
Small Batch,South Bay,Aged,,40.0%,Dominican Republic,7.2,11.0,,,,6.660621298197541
1985 Released 2020,Centenario,Aged,Column Still (5+),43.0%,Costa Rica,8.7,11.0,,,,7.185241358987814
2015 Casimir Batch 2,Clairin,Light,,,Haiti,6.9,11.0,,,2015.0,6.555697286039486
Gran Legado 12-Year,Centenario,Spiced,,40.0%,Costa Rica,6.3,10.0,,12.0,,6.3473549187133225
Barbados 8-Year,Twezo,Aged,,40.0%,Multiple,7.4,10.0,,8.0,,6.708587057833168
Rhum Silver,Batiste,Light,,40.0%,United States,4.7,10.0,,,,5.821926352720818
Triple Millesime 1999-2000-2009,Trois Rivieres,Agricole,Column Still (1-4),42.0%,Martinique,6.8,10.0,,,,6.511551345585979
Red,Inner Circle,Gold,,40.0%,Australia,4.4,10.0,,,,5.723408496597224
1854,Tanduay,Aged,,40.0%,Philippines,5.7,10.0,,,,6.150319206466134
8-Year,Aldea,Aged,,40.0%,Spain,6.2,10.0,,8.0,,6.31451563333879
10 Pistol 1821,Mocambo,Aged,,,Mexico,5.2,10.0,,,,5.986122779593476
Fernandes Black Label,Angostura,Gold,,40.0%,Trinidad and Tobago,3.3,10.0,,,,5.362176357477378
Full Moon Dark,Rougaroux,Dark,,,United States,7.3,10.0,,,,6.675747772458637
Gold,Tortuga,Gold,,40.0%,Cayman Islands,5.4,10.0,,,,6.051801350342539
Bardinet Anejo,Negrita,Gold,,37.5%,Martinique,4.6,10.0,,,,5.789087067346287
2015 L'intense,Karukera,Agricole,Column Still (1-4),60.3%,Guadeloupe,8.9,10.0,,,2015.0,7.20117633845114
Cacao'mon,RumJava,Flavored,,,United States,5.9,10.0,,,,6.215997777215196
2006 Released by Velier 10-Year,Foursquare,Aged,Pot and Column Still,62.0%,Barbados,9.5,10.0,,10.0,2006.0,7.398212050698329
Navy Style 61,Lost Spirits,Gold,,,United States,7.0,10.0,,,,6.5772299163350425
Anejo,Santero,Gold,,40.0%,Cuba,4.1,10.0,,,,5.624890640473629
Spiced,Seacrets,Spiced,,,United States,7.8,10.0,,,,6.839944199331295
Spiced,Castillo,Spiced,,,Puerto Rico,5.1,10.0,,,,5.953283494218945
West Indies 8-Year,Compagnie des Indes,Aged,,40.0%,France,7.0,10.0,,8.0,,6.5772299163350425
5-Year,Vanua,Aged,,40.0%,Fiji,4.0,10.0,,5.0,,5.592051355099098
Sherry Cask Finish 12-Year,Ron Esclavo,Aged,,40.0%,Dominican Republic,7.9,10.0,,12.0,,6.872783484705826
Trinidad and Tobago,La Maison Du Rhum,Aged,,,France,8.0,10.0,,,,6.905622770080357
Carte Grise,Mangoustan's,Gold,,42.0%,Martinique,4.6,10.0,,,,5.789087067346287
Kauai Reserve 3-Year,Koloa,Aged,,40.0%,United States,6.8,10.0,,3.0,,6.511551345585979
Vanilla,Chamarel,Flavored,,40.0%,Mauritius,5.1,10.0,,,,5.953283494218945
AmbrÃ¨ 1-Year,Clement,Agricole,Column Still (1-4),40.0%,Martinique,6.3,10.0,,1.0,,6.3473549187133225
2009 Select Casks,Karukera,Agricole,Column Still (1-4),45.0%,Guadeloupe,7.4,10.0,,,2009.0,6.708587057833168
Barrel-Aged Cachaca,Novo Fogo,Cachaca,,55.3%,Brazil,6.7,10.0,,,,6.478712060211448
Coconut,Largo Bay,Flavored,,40.0%,United States,2.6,10.0,,,,5.132301359855657
Gorgas Gran Reserva,Serum,Aged,,40.0%,Panama,5.8,10.0,,,,6.183158491840665
6-Year,Doorly's,Aged,Pot and Column Still,40.0%,Barbados,5.8,10.0,,6.0,,6.183158491840665
2018 Long Pond STCE White,Habitation Velier,Light,Pot Still,62.5%,Italy,8.6,10.0,,,2018.0,7.102658482327546
Pineapple Stiggins' Fancy Smoky Formula,Plantation,Flavored,,40.0%,Multiple,6.6,10.0,,,,6.445872774836917
Gran AÃ±ejo Dark Series,Barcelo,Aged,,,Dominican Republic,7.1,10.0,,,,6.610069201709574
Selecto 5-Year,Cartavio,Aged,,40.0%,Peru,5.4,10.0,,5.0,,6.051801350342539
15-Year,Porteno,Aged,,40.0%,Colombia,5.7,10.0,,15.0,,6.150319206466134
2004 Haiti Barbancourt 11-Year,Compagnie des Indes,Aged,,43.0%,France,7.7,10.0,,11.0,2004.0,6.8071049139567625
1997 Single Cask Trinidad,Plantation,Aged,,,Multiple,8.0,10.0,,,1997.0,6.905622770080357
Oakheart Cherry Stout,Bacardi,Flavored,,,Puerto Rico,6.1,10.0,,,,6.281676347964259
1999 Trinidad,Mezan,Aged,,,Multiple,7.5,10.0,,,1999.0,6.7414263432077
Lâ€™Authentique Blanc,La Favorite,Agricole,Column Still (1-4),50.0%,Martinique,7.0,10.0,,,,6.5772299163350425
Light,Barton,Light,,,United States,2.9,10.0,,,,5.230819215979252
Último,Espero,Aged,,42.0%,Panama,8.1,10.0,,,,6.938462055454889
Canne Grise,Bielle,Agricole,Column Still (1-4),59.0%,Guadeloupe,7.8,10.0,,,,6.839944199331295
Very Strong,Sunset,Light,,84.5%,Saint Vincent And The Grenedines,5.9,10.0,,,,6.215997777215196
Raspberry,Bacardi,Flavored,,,Puerto Rico,3.6,10.0,22.99,,,5.460694213600973
2007 Savanna 13-Year,Rum Nation,Agricole,,62.6%,Italy,8.9,10.0,,13.0,2007.0,7.20117633845114
Rhum Vieux 6-Year,Domaine de Severin,Agricole,Column Still (1-4),45.0%,Guadeloupe,5.8,10.0,,6.0,,6.183158491840665
40 abv 12-Year,Doorly's,Aged,Pot and Column Still,40.0%,Barbados,7.4,10.0,,12.0,,6.708587057833168
2009 Trinidad White Pineau des Charentes Cask,Plantation,Aged,,,Multiple,7.3,10.0,,,2009.0,6.675747772458637
21-Year,Porteno,Aged,,40.0%,Colombia,7.3,10.0,,21.0,,6.675747772458637
Falconet 8-Year,Bombarda,Aged,,43.0%,Barbados,7.4,10.0,,8.0,,6.708587057833168
White,Bayou,Light,,40.0%,United States,6.1,10.0,,,,6.281676347964259
2004 Traditionnel,Riviere du Mat,Aged,,43.0%,Reunion,7.4,10.0,,,2004.0,6.708587057833168
2011 LFCH Velier 7-Year,Hampden Estate,Aged,Pot Still,60.5%,Jamaica,7.7,10.0,,7.0,2011.0,6.8071049139567625
Mango,Malibu,Flavored,,,Canada,4.1,10.0,,,,5.624890640473629
Edicion de la Hacienda 4 Star,Ron Del Barrilito,Aged,,,Puerto Rico,9.8,10.0,,,,7.4967299068219235
Serie Experimental No 2 Banana Infused 21-Year,La Hechicera,Aged,,43.0%,Colombia,7.7,10.0,,21.0,,6.8071049139567625
Raw & Unfiltered,Key West,Gold,,40.0%,United States,7.5,10.0,,,,6.7414263432077
Limited Release,Blue Stamp,Aged,,40.0%,Mauritius,7.8,10.0,,,,6.839944199331295
Anejo 3-Year,Santero,Gold,,40.0%,Cuba,3.6,10.0,,3.0,,5.460694213600973
Navy Strength,Ron Barco De Cargas,Aged,,60.0%,Guatemala,7.7,10.0,,,,6.8071049139567625
Dark,Bati,Dark,,40.0%,Fiji,6.1,10.0,,,,6.281676347964259
Legacy Edition 2021 Dark Rye Finish,Papas Pilar,Dark,Pot and Column Still,43.0%,United States,8.2,10.0,,,,6.97130134082942
94 Proof,Calico Jack,Light,,,United States,6.9,10.0,,,,6.544390630960511
Dark,Trader Vics,Dark,,40.0%,United States,4.7,10.0,,,,5.821926352720818
2007 Jamaica Worthy Park 7-Year,Compagnie des Indes,Aged,,43.0%,France,7.3,10.0,,7.0,2007.0,6.675747772458637
2005 Long Pond TECA 14-Year,Habitation Velier,Light,,62.0%,Italy,8.8,10.0,,14.0,2005.0,7.168337053076609
Wine Barrel Reserva,Sister Isles,Aged,,40.0%,Saint Kitts and Nevis,6.1,10.0,,,,6.281676347964259
2004 Panama Secrete 11-Year,Compagnie des Indes,Aged,,60.0%,France,8.1,10.0,,11.0,2004.0,6.938462055454889
7-Year,Columbus Anejo,Gold,,40.0%,Dominican Republic,5.6,10.0,,7.0,,6.1174799210916015
Blanc 50,Longueteau,Agricole,Column Still (1-4),50.0%,Guadeloupe,7.3,10.0,,,,6.675747772458637
7-Year,Conde de Cuba,Aged,,40.0%,Cuba,6.9,10.0,,7.0,,6.544390630960511
White,Koloa,Light,,40.0%,United States,5.2,10.0,,,,5.986122779593476
Pharmacy Liquorice,A. H. Riise,Spiced,,40.0%,Denmark,2.9,10.0,,,,5.230819215979252
15-Year,Conde de Cuba,Aged,,40.0%,Cuba,7.0,9.0,,15.0,,6.5628750452000375
Trinidad & Tobago,Twezo,Gold,,40.0%,Multiple,6.3,9.0,,,,6.3489628228248085
Dark,Stolen,Dark,,,New Zealand,5.3,9.0,,,,6.043373933717339
Superior Silver,Largo Bay,Light,,40.0%,United States,1.1,9.0,,,,4.7599005994659676
3-Year,Santisima Trinidad de Cuba,Gold,,40.0%,Cuba,5.6,9.0,,3.0,,6.13505060044958
1997 Atlantic Limited Edition,Ocean's,Aged,,40.0%,Spain,7.9,9.0,,,1997.0,6.837905045396759
10-Year,Arundel,Aged,,40.0%,"Virgin Islands, British",8.1,9.0,,10.0,,6.899022823218254
Premium 8-Year,Tres PaÃ­ses,Aged,,40.0%,Germany,6.0,9.0,,8.0,,6.257286156092568
Leyenda,Cacique,Aged,,40.0%,Venezuela,6.9,9.0,,,,6.532316156289291
Deep & Singular 7-Year,Ocean's,Gold,,40.0%,Spain,6.4,9.0,,7.0,,6.379521711735555
Without Angels White Clairin,San Zanj,Light,Column Still (1-4),43.0%,Haiti,6.0,9.0,,,,6.257286156092568
2001 8-Year,Montebello,Agricole,Column Still (1-4),42.0%,Guadeloupe,7.1,9.0,,8.0,2001.0,6.593433934110784
12-Year,Mombacho,Aged,,,Nicaragua,7.6,9.0,,12.0,,6.74622837866452
Blanc 62,Depaz,Agricole,Column Still (1-4),,Martinique,6.1,9.0,,,,6.287845045003315
Añejo Reserva,Varadero,Gold,,40.0%,Cuba,6.0,9.0,,,,6.257286156092568
Hors D’Age XO 9-Year,Dillon,Agricole,Column Still (1-4),43.0%,Martinique,7.3,9.0,,9.0,,6.654551711932279
Maestro 10-Year,Aldea,Aged,,40.0%,Spain,6.1,9.0,,10.0,,6.287845045003315
Colonial Era,George Bowman,Dark,,,United States,6.3,9.0,,,,6.3489628228248085
2015 Casimir Batch 1,Clairin,Light,,,Haiti,8.2,9.0,,,2015.0,6.929581712129
Dorado 3-Year,Marti,Aged,,40.0%,Panama,5.3,9.0,27.99,3.0,,6.043373933717339
2014 Captain's Choice,Tres Hombres,Gold,,40.0%,Multiple,9.3,9.0,,,2014.0,7.265729490147218
Banana,Tortuga,Flavored,,40.0%,Cayman Islands,7.0,9.0,,,,6.5628750452000375
1992 XXXO Single Barrel Bottled 2018 26-Year,Ron de Jeremy,Aged,,,Panama,6.1,9.0,,26.0,1992.0,6.287845045003315
Arrange Gingembre Citron,Isautier,Flavored,,40.0%,Reunion,6.1,9.0,,,,6.287845045003315
Añejo 5-Year,Varadero,Gold,,40.0%,Cuba,6.4,9.0,,5.0,,6.379521711735555
2003 6-Year,Montebello,Agricole,Column Still (1-4),42.0%,Guadeloupe,6.6,9.0,,6.0,2003.0,6.44063948955705
1999 Hearts Collection Velier 21-Year,Appleton Estate,Aged,Pot Still,63.0%,Jamaica,9.2,9.0,,21.0,1999.0,7.23517060123647
2013 Special Cask Series Madeira Finish 5-Year,Worthy Park,Aged,Pot Still,58.0%,Jamaica,7.7,9.0,,5.0,2013.0,6.776787267575266
110th Anniversary,E. León Jimenes,Aged,Pot and Column Still,40.0%,Dominican Republic,8.8,9.0,,,,7.112935045593483
Panama Single Cask Cabreuva Finish 8-Year,Plantation,Aged,,,Multiple,7.4,9.0,,8.0,,6.685110600843025
Black Pineapple,Jamaica Cove,Flavored,,,United Kingdom,7.0,9.0,,,,6.5628750452000375
8-Year,Neisson,Agricole,Column Still (1-4),45.0%,Martinique,8.1,9.0,,8.0,,6.899022823218254
1995 Enmore Guyana,Velier,Aged,,,Multiple,8.9,9.0,,,1995.0,7.143493934504229
Elixir De Ron,Mulata,Flavored,,,Cuba,4.9,9.0,,,,5.921138378074351
Black Spiced,Doubloon,Spiced,,40.0%,United States,3.7,9.0,,,,5.554431711145388
Gran Anejo 16-Year,Cana Fuerte,Aged,,40.0%,Nicaragua,6.7,9.0,,16.0,,6.471198378467797
Vieux 3-Year,Karukera,Agricole,Column Still (1-4),42.0%,Guadeloupe,5.6,9.0,,3.0,,6.13505060044958
Killer Coconut,Whaler's,Flavored,,40.0%,United States,6.3,9.0,,,,6.3489628228248085
15-Year,Frigate Reserve,Aged,,40.0%,Panama,7.2,9.0,,15.0,,6.62399282302153
Sherry Spiced,Mauritius Rom Club,Spiced,,40.0%,Mauritius,4.9,9.0,,,,5.921138378074351
Silver,Rum-Bar,Light,Pot Still,40.0%,Jamaica,6.3,9.0,,,,6.3489628228248085
Cobre,Botran,Spiced,,40.0%,Guatemala,4.8,9.0,,,,5.890579489163604
2006 Panama 13-Year,Plantation,Aged,,,Multiple,7.5,9.0,,13.0,2006.0,6.715669489753772
2019 Lime,Dead Man's Fingers,Flavored,,,United Kingdom,5.6,9.0,,0.0,2019.0,6.13505060044958
Double Distilled,Chamarel,Light,,,Mauritius,7.1,9.0,,,,6.593433934110784
10 Legend,Myers's,Aged,,40.0%,Jamaica,8.1,9.0,,,,6.899022823218254
Gran Solera 19-Year,Medellin,Aged,,40.0%,Colombia,7.2,9.0,,19.0,,6.62399282302153
Spiced,Two Swallows,Spiced,,,Guyana,5.4,9.0,,,,6.073932822628086
Gold,Smatts,Gold,,40.0%,Jamaica,6.0,9.0,,,,6.257286156092568
Shipwreck Coconut Cream,Brinley Gold,Flavored,,,Saint Kitts and Nevis,7.4,9.0,,,,6.685110600843025
1974 Trinidad,Bristol Classic,Aged,,40.0%,United Kingdom,9.0,9.0,,,1974.0,7.174052823414977
2012 Heavy Traditional Rum Released by Velier 6-Year,English Harbour,Light,Column Still (1-4),66.0%,Antigua and Barbuda,8.9,9.0,,6.0,2012.0,7.143493934504229
5 Cask Blend 3-Year,William Hinton,Agricole,Column Still (1-4),45.0%,Portugal,4.1,9.0,,3.0,,5.6766672667883755
2015 Captain's Choice 21-Year,Tres Hombres,Aged,,40.0%,Multiple,8.7,9.0,,21.0,2015.0,7.082376156682735
1988,Pancho Villa,Aged,,40.0%,Dominican Republic,6.9,9.0,,,1988.0,6.532316156289291
Banana Spiced,Cargo Cult,Flavored,,40.0%,Australia,6.8,9.0,,,,6.501757267378543
Black Cask Barbados Fiji,Plantation,Aged,,40.0%,Multiple,6.7,9.0,,,,6.471198378467797
Signature Master Blender Collection,A. H. Riise,Aged,,43.9%,Denmark,7.6,9.0,,,,6.74622837866452
Sugarshine,Rougaroux,Light,,,United States,7.5,9.0,,,,6.715669489753772
Honey,Arehucas,Aged,,,Spain,4.6,9.0,,,,5.829461711342111
Sliced Apple,Captain Morgan,Flavored,,35.0%,Puerto Rico,5.3,9.0,24.99,,,6.043373933717339
1994 Hearts Collection Velier 26-Year,Appleton Estate,Aged,Pot Still,60.0%,Jamaica,9.0,9.0,,26.0,1994.0,7.174052823414977
2005 Belize Travellers Cask Strength 11-Year,Compagnie des Indes,Aged,,66.2%,France,8.1,9.0,,11.0,2005.0,6.899022823218254
Peach Red,Bacardi,Flavored,,,Puerto Rico,3.1,9.0,,,,5.371078377680906
Gold,Coruba,Gold,,40.0%,Jamaica,5.0,9.0,,,,5.951697266985098
Frogman Conventus Ranae,A. H. Riise,Aged,,60.0%,Denmark,7.3,9.0,,,,6.654551711932279
Gold,Siesta Key,Gold,,40.0%,United States,7.6,9.0,,,,6.74622837866452
XO Batch 002,Penny Blue,Aged,,,Mauritius,5.4,9.0,,,,6.073932822628086
Caribbean White Rum,Ten to One,Light,,40.0%,Trinidad and Tobago,6.7,9.0,34.0,,,6.471198378467797
Navy 68,Lost Spirits,Gold,,,United States,7.6,9.0,,,,6.74622837866452
Orangerie 12-Year,Cubaney,Aged,,40.0%,Dominican Republic,6.0,9.0,,12.0,,6.257286156092568
1992,J. Bally,Agricole,Column Still (1-4),45.0%,Martinique,5.6,9.0,,,1992.0,6.13505060044958
1999 Trinidad Banyuls Finish,Plantation,Aged,,,Multiple,8.0,9.0,,,1999.0,6.868463934307507
Vieux 4-Year,Bologne,Agricole,Column Still (1-4),42.0%,Guadeloupe,7.4,9.0,,4.0,,6.685110600843025
2017 Savanna HERR White,Habitation Velier,Light,Pot Still,62.5%,Italy,8.1,9.0,,,2017.0,6.899022823218254
Vieux 3-Year,Reimonenq,Agricole,Column Still (1-4),40.0%,Guadeloupe,7.3,9.0,,3.0,,6.654551711932279
5 Estate Diamond,Cruzan,Aged,,40.0%,"Virgin Islands, U.S.",6.8,9.0,,,,6.501757267378543
11-Year,Conde de Cuba,Aged,,40.0%,Cuba,6.4,9.0,,11.0,,6.379521711735555
8-Year,Cane Mill,Aged,,,Barbados,6.2,9.0,,8.0,,6.3184039339140625
2017 Libération 7-Year,Rhum Rhum,Aged,Pot Still,45.0%,Guadeloupe,7.2,9.0,,7.0,2017.0,6.62399282302153
